"","qweek","vac_1","age","gender","country","Age_groups","agegroup_fct","Vaccine_fct"
"1","week 24","1",66,"Male","Australia",6,"65+","Strongly agree"
"2","week 24","1",79,"Male","Australia",6,"65+","Strongly agree"
"3","week 24","2",75,"Male","Australia",6,"65+","Somewhat agree"
"4","week 24","1",69,"Male","Australia",6,"65+","Strongly agree"
"5","week 24","1",70,"Female","Australia",6,"65+","Strongly agree"
"6","week 24","2",85,"Male","Australia",6,"65+","Somewhat agree"
"7","week 24","5",74,"Male","Australia",6,"65+","Strongly disagree"
"8","week 24","1",75,"Male","Australia",6,"65+","Strongly agree"
"9","week 24","1",77,"Male","Australia",6,"65+","Strongly agree"
"10","week 24","1",73,"Male","Australia",6,"65+","Strongly agree"
"11","week 24","2",75,"Male","Australia",6,"65+","Somewhat agree"
"12","week 24","1",80,"Male","Australia",6,"65+","Strongly agree"
"13","week 24","1",67,"Male","Australia",6,"65+","Strongly agree"
"14","week 24","1",67,"Male","Australia",6,"65+","Strongly agree"
"15","week 24","1",72,"Male","Australia",6,"65+","Strongly agree"
"16","week 24","1",72,"Male","Australia",6,"65+","Strongly agree"
"17","week 24","2",49,"Female","Australia",4,"45-54","Somewhat agree"
"18","week 24","1",79,"Male","Australia",6,"65+","Strongly agree"
"19","week 24","3",31,"Female","Australia",2,"25-34","Neutral/no opinion"
"20","week 24","1",48,"Female","Australia",4,"45-54","Strongly agree"
"21","week 24","1",61,"Female","Australia",5,"55-64","Strongly agree"
"22","week 24","5",50,"Female","Australia",4,"45-54","Strongly disagree"
"23","week 24","5",57,"Female","Australia",5,"55-64","Strongly disagree"
"24","week 24","1",79,"Male","Australia",6,"65+","Strongly agree"
"25","week 24","1",58,"Female","Australia",5,"55-64","Strongly agree"
"26","week 24","2",64,"Female","Australia",5,"55-64","Somewhat agree"
"27","week 24","1",64,"Female","Australia",5,"55-64","Strongly agree"
"28","week 24","1",70,"Male","Australia",6,"65+","Strongly agree"
"29","week 24","1",66,"Male","Australia",6,"65+","Strongly agree"
"30","week 24","3",68,"Male","Australia",6,"65+","Neutral/no opinion"
"31","week 24","1",56,"Male","Australia",5,"55-64","Strongly agree"
"32","week 24","4",54,"Female","Australia",4,"45-54","Somewhat disagree"
"33","week 24","4",68,"Male","Australia",6,"65+","Somewhat disagree"
"34","week 24","1",37,"Female","Australia",3,"35-44","Strongly agree"
"35","week 24","1",64,"Male","Australia",5,"55-64","Strongly agree"
"36","week 24","3",41,"Female","Australia",3,"35-44","Neutral/no opinion"
"37","week 24","1",45,"Female","Australia",4,"45-54","Strongly agree"
"38","week 24","1",70,"Female","Australia",6,"65+","Strongly agree"
"39","week 24","1",65,"Male","Australia",6,"65+","Strongly agree"
"40","week 24","5",71,"Female","Australia",6,"65+","Strongly disagree"
"41","week 24","1",76,"Female","Australia",6,"65+","Strongly agree"
"42","week 24","2",56,"Male","Australia",5,"55-64","Somewhat agree"
"43","week 24","2",77,"Female","Australia",6,"65+","Somewhat agree"
"44","week 24","4",70,"Female","Australia",6,"65+","Somewhat disagree"
"45","week 24","3",52,"Female","Australia",4,"45-54","Neutral/no opinion"
"46","week 24","5",63,"Female","Australia",5,"55-64","Strongly disagree"
"47","week 24","1",40,"Female","Australia",3,"35-44","Strongly agree"
"48","week 24","5",58,"Male","Australia",5,"55-64","Strongly disagree"
"49","week 24","4",62,"Female","Australia",5,"55-64","Somewhat disagree"
"50","week 24","1",68,"Female","Australia",6,"65+","Strongly agree"
"51","week 24","3",57,"Female","Australia",5,"55-64","Neutral/no opinion"
